,Date,ACB,MWG,MSN,BID,VRE,POW,PLX,HPG,VNM,VHM,TCB,HDB,VIB,VCB,VJC
155,2020-08-18,10530,26250,42440,26500,26100,9425,41710,13430,81900,58690,20050,8780,6960.0,53540,99800
156,2020-08-19,10530,26380,42680,26640,26350,9730,42580,13480,81670,58990,20200,8700,6960.0,53990,100000
157,2020-08-20,11120,26350,42110,26400,26350,9539,41990,13400,81620,58990,20000,8610,6960.0,53990,99600
158,2020-08-21,11330,26440,42600,26880,26500,9587,42170,13540,81900,58620,20350,8720,7070.0,53930,99600
159,2020-08-24,11230,27120,43410,27370,26900,9634,43940,13790,82520,58990,20950,9040,7110.0,54580,100000
160,2020-08-25,11280,28250,43410,27260,26950,9539,45660,13650,83090,58690,21300,9040,7260.0,54580,99500
161,2020-08-26,11330,28150,43320,27160,27200,9587,46560,13460,82960,58620,21100,9060,7400.0,54320,100600
162,2020-08-27,11490,28660,43410,26990,27200,9587,47830,13510,83020,57880,21150,9030,7520.0,54320,99600
163,2020-08-28,11440,29920,44140,27990,27200,9634,47370,13510,84510,57960,21600,9040,7520.0,54250,100600
164,2020-08-31,11330,30110,44540,28270,27000,9587,47560,13650,85720,57880,21300,9090,7320.0,53990,103000
165,2020-09-01,11280,30240,44210,28580,27250,9587,47920,13790,87280,58030,21700,9130,7360.0,53990,105500
166,2020-09-03,11330,30570,44860,29130,28100,10016,48100,13900,88350,58690,22000,9560,7630.0,56070,107600
167,2020-09-04,11280,30340,45590,29060,28500,9921,47640,13870,88540,58990,21850,9520,7550.0,55230,107600
168,2020-09-07,11120,29120,44210,28020,27700,9587,47180,13620,89260,58320,21200,9370,7460.0,54380,107000
169,2020-09-08,11010,30020,44370,28200,28300,9587,47280,13710,87980,57880,21500,9420,7480.0,53670,106800
170,2020-09-09,11170,30110,44540,28160,28400,9539,47000,13620,87700,57960,21200,9330,7460.0,53470,106000
171,2020-09-10,11170,30280,44370,27950,28400,9587,46250,13650,88350,57590,21450,9400,7460.0,53410,106000
172,2020-09-11,11120,30110,44540,27920,28400,9539,45890,13600,87700,57290,21300,9730,7480.0,53540,105800
173,2020-09-14,11330,29980,45030,27950,28600,9539,45980,13680,87980,57140,21500,9700,7550.0,53990,107400
174,2020-09-15,11390,29950,44860,28130,28900,9682,45700,13730,88410,56630,21350,9580,7810.0,53670,106900
175,2020-09-16,11330,30510,44460,27990,28900,9682,46900,13730,87980,56920,21400,9570,7810.0,53930,106900
176,2020-09-17,11490,30370,43730,27950,28300,9539,46170,14120,88200,56550,21300,9490,7810.0,53670,105900
177,2020-09-18,11590,30470,43900,28300,28500,9539,46540,14290,89540,56700,21800,9540,8330.0,53930,106000
178,2020-09-21,11760,31730,44140,28160,28950,9634,46810,14290,92160,56850,22300,9840,8360.0,53990,106500
179,2020-09-22,11920,32110,43980,28090,28700,9539,46540,14210,91810,56630,22350,9900,8360.0,54640,106700
180,2020-09-23,12030,32850,44860,28580,29100,9921,47640,14350,91520,57140,22300,9960,8580.0,55550,106500
181,2020-09-24,11860,32630,44540,28230,28600,9777,47740,14260,90180,56850,22450,9960,8580.0,56010,105800
182,2020-09-25,11860,32409,44290,28160,28400,9682,47640,14320,90470,56850,22400,9980,8830.0,55940,105600
183,2020-09-28,12080,33210,44290,28510,27800,9682,47360,14680,90890,56480,22850,10080,9090.0,55940,105500
184,2020-09-29,11970,33370,43410,28060,27450,9682,46720,14650,94260,55520,22550,10020,9210.0,55030,104000
185,2020-09-30,12030,33630,44210,28160,27600,9777,46440,14680,93990,55670,22600,10030,9210.0,54710,104600
186,2020-10-01,12030,33860,44460,28270,27700,9825,46900,15010,94340,56850,22800,10330,9650.0,55160,105500
